dataset,init_cls,increment,training_time_min,num_tasks
aircraft,10,10,5.7,10
aircraft,50,10,4.6,6
cars,10,10,5.2,10
cars,50,10,4.5,6
cifar224,10,10,6.2,10
cifar224,50,10,5.7,6
cub200,20,20,17.1,10
cub200,100,20,14.7,6
food101,10,10,9.1,10
food101,50,10,7.9,6
imagenetr,20,20,18.3,10
imagenetr,100,20,15.2,6
objectnet,20,20,35.4,10
objectnet,100,20,31.6,6
sun,30,30,44.3,10
sun,150,30,39.6,6
ucf101,10,10,4.9,10
ucf101,50,10,4.5,6
